OTU;Domain;Phylum;Class;Order;Family;Genus;Species
HQ643128.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Brevilegnia;s__Brevilegnia_macrospora
HQ643709.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_nodosum
ON000780.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_pseudokernoviae
ON000799.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_tonkinensis
HQ643374.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Phytopythium;s__Phytopythium_chamaehyphon
KU517153.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_formosa
MG783386.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Phytophthora;s__Phytophthora_cajani
HQ643794.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_spinosum
HQ643689.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_mamillatum
HQ643519.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_debaryanum
HQ643969.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_violae
HQ643107.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Achlya;s__Achlya_recurva
HQ644011.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Saprolegniales;f__Saprolegniaceae;g__Saprolegnia;s__Saprolegnia_terrestris
KT248974.1;k__Eukaryota;p__Oomycota;c__Stramenopiles;o__Peronosporales;f__Peronosporaceae;g__Bremia;s__Bremia_centaureae
